S No,,fuel type,2WIC,2WN,2WT,3WIC,3WN,3WT,4WIC,HGV,HMV,HPV,LGV,LMV,LPV,MGV,MMV,MPV,OTH,Total
110,2019,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
111,2020,CNG ONLY,0,0,0,0,0,"1,755",0,383,0,811,"9,419",2,52,"1,472",0,1,0,"13,895"
112,2020,DIESEL,0,0,0,0,0,0,6,112,0,0,175,"9,960",54,11,33,0,0,"10,351"
113,2020,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,32
114,2020,ELECTRIC(BOV),0,"1,164",0,0,0,"10,328",0,0,0,0,0,443,442,0,0,0,0,"12,377"
115,2020,PETROL,14,"2,77,095",0,0,0,0,35,0,0,0,0,"80,569",29,0,0,0,0,"3,57,742"
116,2020,PETROL/CNG,0,0,0,0,0,"1,452",3,0,0,0,1,"20,780","1,588",0,0,0,0,"23,824"
117,2020,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
118,2020,PETROL/HYBRID,0,0,0,0,0,0,1,0,0,0,0,"5,307",0,0,0,0,0,"5,308"
119,2020,PURE EV,,,,,,,,,,,,,,,,,,
120,2020,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
121,2020,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
122,2021,CNG ONLY,0,0,0,0,0,"6,523",0,"1,364",0,245,"14,231",1,2,"3,057",0,5,0,"25,428"
123,2021,DIESEL,0,1,0,0,0,0,4,61,0,1,188,"11,722",36,9,0,22,0,"12,044"
124,2021,DIESEL/HYBRID,,,,,,,,,,,,,,,,,,
125,2021,ELECTRIC(BOV),0,"7,557",0,0,0,"16,248",0,0,0,30,19,"1,531",425,0,0,1,0,"25,811"
126,2021,PETROL,1,"2,67,999",0,0,0,0,78,0,0,0,0,"94,152",48,0,0,0,0,"3,62,278"
127,2021,PETROL/CNG,0,0,0,0,0,66,3,0,0,0,0,"26,225",734,0,0,0,0,"27,028"
128,2021,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
129,2021,PETROL/HYBRID,0,0,0,0,0,0,4,0,0,0,0,"6,318",0,0,0,0,0,"6,322"
130,2021,PURE EV,,,,,,,,,,,,,,,,,,
131,2021,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
132,2021,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
133,2022,CNG ONLY,0,0,0,0,0,"7,747",0,"1,398",0,606,"21,510",2,122,"2,345",0,22,0,"33,752"
134,2022,DIESEL,0,0,0,0,0,0,17,185,0,2,288,"15,019",82,4,0,0,15,"15,612"
135,2022,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,18
136,2022,ELECTRIC(BOV),0,"34,573",0,0,0,"21,621",1,0,0,399,6,"3,133","2,515",0,0,0,0,"62,248"
137,2022,PETROL,1,"3,35,223",0,0,0,0,94,0,0,0,0,"1,13,153",19,0,0,0,0,"4,48,490"
138,2022,PETROL/CNG,0,0,0,0,0,17,24,0,0,0,1,"32,487","2,604",0,0,0,0,"35,133"
139,2022,PETROL/ETHANOL,,,,,,,,,,,,,,,,,,
140,2022,PETROL/HYBRID,0,0,0,0,0,0,1,0,0,0,0,"13,111",5,0,0,0,0,"13,117"
141,2022,PURE EV,,,,,,,,,,,,,,,,,,
142,2022,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
143,2022,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
144,2023,CNG ONLY,0,0,0,0,2,"7,230",0,942,0,170,"16,956",0,280,"1,111",0,167,0,"26,858"
145,2023,DIESEL,0,0,0,0,0,0,4,142,0,20,395,"11,677",336,1,1,0,19,"12,595"
146,2023,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,41
147,2023,ELECTRIC(BOV),0,"37,573",0,0,0,"26,343",3,0,0,"1,121",322,"5,861","2,452",0,0,0,0,"73,675"
148,2023,PETROL,1,"3,58,697",0,0,0,0,124,0,0,0,0,"1,16,319",24,0,0,0,0,"4,75,165"
149,2023,PETROL/CNG,0,0,0,0,0,7,17,0,0,0,1,"35,612","3,596",0,0,0,0,"39,233"
150,2023,PETROL/ETHANOL,0,"6,336",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6,336"
151,2023,PETROL/HYBRID,0,0,0,0,0,0,3,0,0,0,0,"24,039",11,0,0,0,0,"24,053"
152,2023,PURE EV,,,,,,,,,,,,,,,,,,
153,2023,STRONG HYBRID EV,,,,,,,,,,,,,,,,,,
154,2023,PLUG-IN HYBRID EV,,,,,,,,,,,,,,,,,,
155,2024,CNG ONLY,0,"2,320",0,0,2,"5,744",0,756,0,43,"13,943",1,285,"1,297",0,353,0,"24,744"
156,2024,DIESEL,0,0,0,0,0,0,4,478,0,77,442,"10,340",916,4,1,21,2,"12,285"
157,2024,DIESEL/HYBRID,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,54
158,2024,ELECTRIC(BOV),0,"22,849",0,0,0,"38,338",1,0,0,825,579,"3,859","1,423",0,0,0,0,"67,874"
159,2024,PETROL,1,"4,03,891",0,0,0,0,120,0,0,1,3,"1,09,848",43,0,0,0,0,"5,13,907"
160,2024,PETROL/CNG,0,0,0,0,0,3,44,0,0,0,14,"40,384","4,692",0,0,0,0,"45,137"
161,2024,PETROL/ETHANOL,0,"11,443",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"11,443"
162,2024,PETROL/HYBRID,0,0,0,0,0,0,10,0,0,0,0,"18,186",3,0,0,0,0,"18,199"
163,2024,PURE EV,0,"8,687",0,0,0,"2,263",0,0,0,211,24,604,639,0,0,0,0,"12,428"
164,2024,STRONG HYBRID EV,0,0,0,0,0,0,5,0,0,0,0,"4,977",0,0,0,0,0,"4,982"
165,2024,PLUG-IN HYBRID EV,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
